presentation_id,evaluator_id,phoneme_identity,naturalness,clarity,voice_quality,target_similarity,notes
P01,evaluator-1,4,5,3,5,4,人間の声だとはっきりわかる。小さくノイズが乗っていることもはっきりわかる。
P02,evaluator-1,2,2,4,2,2,やや「わ」に近い。オーボエに近い。何も知らされずに聞いたら母音だとは思わない。
P03,evaluator-1,5,4,5,4,4,referenceの声のピッチを上げた音とわかる。人間の声だとわかる。
P04,evaluator-1,1,1,5,1,1,明らかな電子音・ブザー音だとわかる
P05,evaluator-1,4,5,5,5,5,referenceよりほんのわずかに不明瞭だが、ほぼ同じに聞こえる。
P06,evaluator-1,5,5,5,5,5,referenceと同じに聞こえる
P07,evaluator-1,2,5,2,5,5,referenceに強いノイズ音が乗っている
P08,evaluator-1,1,1,5,1,1,明らかな電子音・正弦波だとわかる
P09,evaluator-1,5,5,5,5,5,referenceと同じに聞こえるが、不思議と明瞭さが増したように感じる
P10,evaluator-1,4,5,3,5,4,P01と同じく聞こえる。referenceの声だが、小さくノイズが乗っている
