sample_id,relative_path,speaker_id,take_id,vowel,split,source_kind,license,export_allowed,notes
onset-maoto-modal-a,../../../data/raw/reference/utau-samples/maoto/単独音/あ.wav,maoto,modal,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-maoto-soft-a,../../../data/raw/reference/utau-samples/maoto/単独音soft/あ.wav,maoto,soft,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-mizuhara-modal-a,../../../data/raw/reference/utau-samples/水原薫/単独音/あ.wav,水原薫,modal,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-mizuhara-light-a,../../../data/raw/reference/utau-samples/水原薫/単独音-light/あ.wav,水原薫,light,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-sanada-modal-a,../../../data/raw/reference/utau-samples/真田アサミ/単独音/あ.wav,真田アサミ,modal,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-sanada-boyish-a,../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/あ.wav,真田アサミ,boyish,a,onset-development,human-reference,local-research-only,no,別テイクではなく同一話者の音源表情
onset-kaneda-modal-a,../../../data/raw/reference/utau-samples/金田朋子/単独音/あ.wav,金田朋子,modal,a,onset-checkpoint,human-reference,local-research-only,no,試聴候補凍結まで特徴設計に使わない
onset-kaneda-dark-a,../../../data/raw/reference/utau-samples/金田朋子/単独音-Dark/あ.wav,金田朋子,dark,a,onset-checkpoint,human-reference,local-research-only,no,試聴候補凍結まで特徴設計に使わない
onset-harukaze-a-a,../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/あ.wav,はるかぜちゃん,A,a,onset-holdout,human-reference,local-research-only,no,通常工程では読み込まない
onset-harukaze-b-a,../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/あ.wav,はるかぜちゃん,B,a,onset-holdout,human-reference,local-research-only,no,通常工程では読み込まない

