presentation_id,task_type,answer,confidence,notes
I01,cv-identification,す,4,母音はやや不明瞭だが不思議と「す」に聞こえる
I02,cv-identification,し,5,かなりはっきり「し」に聞こえる。
I03,vowel-identification,あ,3,以下5つに共通して、「あいうえお」のどれかと聞かれたら分かるが、何の音かを聞かれたら分からないかもしれない
I04,vowel-identification,え,3,「え」と「お」の中間くらいに聞こえる
I05,vowel-identification,お,2,「お」と「う」の中間くらいに聞こえる
I06,vowel-identification,う,2,母音の中では一番聞き取りにくいかもしれない
I07,vowel-identification,い,4,母音の中では一番聞き取りやすい
O01,which-is-more-brightness,A,5,わかりやすく自然である
O02,which-is-more-breathiness,A,5,音とノイズの差がかなりはっきりしており、息っぽいというよりは、単にノイズが乗っているだけに聞こえる
A01,closer-to-reference-A-or-B,A,1,正直なところ違いがわからなかった
